Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz
-3.321255e+08,-6.301088e+08,-1.86756e+08,-4.062651e+07,1.977931e+07,1.690958e+08,-1.249033e+08,5.441697e+07,-1.788638e+08,7.306253e+08,2.071301e+08,-1.180668e+08,1.082442e+08,-3.509856e+07,1.072391e+08,1.440181e+08,-4.131333e+08,2.518025e+08,-1.365571e+08
-4.204251e+08,-4.049208e+08,-2.129809e+08,3.3961e+07,1.058502e+07,1.404381e+08,-1.405533e+08,3.288371e+07,-7.388876e+07,8.396523e+08,1.991993e+08,-6.603948e+07,7.840505e+07,-5457465,5.045769e+07,1.494741e+08,-4.087669e+08,2.467349e+08,-2.014503e+08
-5.053383e+08,-3.266657e+08,-2.600028e+08,1.122886e+08,-1.527185e+07,1.610262e+08,-1.024291e+08,7.005881e+07,-1.294613e+08,9.093429e+08,9.240905e+07,2.442039e+07,1.513729e+07,3.576997e+07,4136845,1.749911e+08,-4.359074e+08,2.207302e+08,-2.174986e+08
-4.897643e+08,-5.302336e+08,-2.438116e+08,1.117121e+08,1.289281e+07,1.705743e+08,-7.150503e+07,6.28013e+07,-1.739235e+08,8.784366e+08,4.324064e+07,8.087275e+07,1.157095e+07,7.712828e+07,-1.683381e+07,1.927653e+08,-4.288237e+08,1.436982e+08,-2.596527e+08
-5.113611e+08,-7.001165e+08,-2.484082e+08,1.125939e+08,-3.45157e+07,1.942131e+08,-1.148714e+08,5.995907e+07,-6.953626e+07,8.724835e+08,5.485901e+07,1.350485e+08,-3.035997e+07,9.216092e+07,-6.938756e+07,2.03107e+08,-4.620644e+08,1.797053e+08,-2.716066e+08
-4.45025e+08,-6.575066e+08,-2.225979e+08,6.536618e+07,-2.761244e+07,2.300389e+08,-1.019754e+08,7.9685e+07,-2.278945e+08,8.00844e+08,1.000432e+07,1.320415e+08,-6.781807e+07,7.114543e+07,-3.643031e+07,2.153518e+08,-4.352133e+08,1.973079e+08,-2.169664e+08
-4.33276e+08,-2.511335e+08,-2.188243e+08,8.592131e+07,-2.580647e+07,2.372217e+08,-1.08345e+08,9.738973e+07,-2.174363e+08,8.336037e+08,4.319334e+07,1.845674e+08,-1.1921e+08,1.330184e+08,-1.454686e+08,2.111106e+08,-4.288999e+08,1.724639e+08,-2.981721e+08
-3.894812e+08,-5.481311e+07,-1.862096e+08,1.40012e+08,-4.698139e+07,2.801205e+08,-2.363606e+08,1.442616e+08,-2.910356e+08,8.082837e+08,7.644466e+07,2.006446e+08,-1.434701e+08,1.741247e+08,-1.913856e+08,2.809077e+08,-4.230105e+08,1.3972e+08,-2.919447e+08
-2.820797e+08,-2.646623e+08,-1.190095e+08,2.149362e+07,1.379721e+07,2.357312e+08,-1.891281e+08,1.369907e+08,-3.819589e+08,7.165776e+08,8.59489e+07,9.343086e+07,-5.775709e+07,9.332238e+07,-1.258146e+08,3.133398e+08,-3.745971e+08,7.831566e+07,-2.063095e+08
-2.77909e+08,-4.658275e+08,-1.269086e+08,-3.572732e+07,3.001773e+07,1.760713e+08,-1.19489e+08,1.479931e+08,-2.100419e+08,6.983054e+08,7.766199e+07,2.562487e+07,-2.723831e+07,1.622348e+07,-1.352128e+08,3.167923e+08,-4.093866e+08,8.798556e+07,-1.648425e+08
-1.924552e+08,-5.521337e+08,-1.023519e+08,-7.781389e+07,8.00765e+07,1.782688e+08,-6.52613e+07,9.884408e+07,-2.572111e+08,5.690219e+08,6.888368e+07,-2.294046e+07,1.928268e+07,-8121611,-6.418254e+07,3.14482e+08,-4.079569e+08,6.7871e+07,-1.503155e+08
-1.987067e+08,-4.314439e+08,-8.646715e+07,-6.110439e+07,1.106462e+08,1.446729e+08,-5.474147e+07,5.059202e+07,-2.268634e+08,5.770911e+08,7.346631e+07,-1.501527e+07,3.732867e+07,8220376,-2.359296e+07,2.743092e+08,-3.467129e+08,3211776,-1.51754e+08
-2.906724e+08,-2.976479e+08,-1.004313e+08,-6.407326e+07,4.428416e+07,8.205684e+07,-6.025409e+07,8.081328e+07,-1.733335e+08,5.581387e+08,6.361311e+07,2.669075e+07,4.854021e+07,3.347742e+07,-3.674542e+07,2.868104e+08,-3.108373e+08,7710706,-9.033954e+07
-2.014053e+08,-2.753671e+08,-6.962992e+07,-1.35198e+08,1.253296e+08,3.709861e+07,2.545261e+07,2.284543e+07,-1.790293e+08,5.216245e+08,9.370368e+07,-1.598409e+07,8.628763e+07,-5.009515e+07,1.722908e+07,1.70449e+08,-2.504211e+08,-2.147568e+07,-5.037074e+07
-7.444051e+07,-2.097886e+08,-31975.19,-1.270047e+08,1.330256e+08,-1.555684e+07,2.086538e+07,-1.322463e+07,-7.374612e+07,4.954434e+08,2.164654e+08,-6.520856e+07,1.925584e+07,-7.603568e+07,-5.168872e+07,1.500747e+08,-2.673824e+08,-5.379809e+07,-7.155255e+07
1.119795e+08,-6.170893e+07,5.877685e+07,-1.496498e+08,1.609335e+08,-2.060693e+07,-5.128587e+07,-6.203999e+07,-1.316878e+08,4.054693e+08,2.009395e+08,-7.335733e+07,4274885,-9.695966e+07,-4.180383e+07,1.906904e+08,-2.674839e+08,-9.143715e+07,-3.780435e+07
