Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz
-6.80019e+07,-1.087982e+08,1.484144e+07,-3.50904e+08,1.893499e+08,1.223636e+07,-1.413102e+08,-8.536374e+07,-7.982357e+07,-1.724025e+08,-1.553313e+08,-7.159227e+07,-1.458767e+08,-2.182108e+08,-9.832486e+07,1.431693e+09,4.870997e+08,-1.785763e+07,5.102894e+07
3.605251e+08,2.537302e+08,4.337585e+07,2.737133e+08,-1.524072e+08,9654668,-3.306514e+08,-4.975206e+07,-3.060754e+08,-1.773142e+08,2.462375e+08,-1.44095e+08,3.874602e+07,-1.148117e+07,1.631314e+08,-2.407336e+08,-6.623388e+07,8.938098e+07,-2.322382e+08
1.588272e+08,1.4639e+08,1.585982e+08,3.12408e+08,-1.520989e+07,8.423709e+07,-1.883599e+08,1.811641e+08,-1.031813e+08,2.573742e+08,-3.264111e+07,-1.523647e+08,-1.159166e+08,-1.12676e+08,-1.481676e+08,7.141253e+07,-3.861926e+08,6.490658e+07,-2.255982e+08
4.232451e+07,1.024693e+08,-9.828162e+07,1.106155e+08,-1.548406e+08,-1.169138e+08,-3.382811e+08,-5.60274e+07,-1.967032e+08,-1.355983e+08,3.42825e+08,-1.946136e+08,1.805459e+08,-8.85424e+07,2.515937e+08,-1.594516e+08,9.368569e+07,2.25338e+08,-1.942055e+08
4.128895e+08,7.986821e+07,2.052468e+08,1.164533e+08,2.120746e+08,-1.31817e+08,8.942094e+07,-1.025168e+08,-4.826709e+07,-1885840,3.179532e+08,-2.78566e+08,1.310281e+08,-2.205767e+08,1.833924e+08,-2.229255e+08,-3.75118e+08,-1.599259e+08,-2.197538e+08
-1.015412e+08,-1.25573e+08,3.395807e+07,1.448867e+08,7.862218e+07,-9.929631e+07,-2.166226e+08,3.312273e+07,-3.544442e+07,3.451001e+07,2.178728e+08,-1.505086e+08,9.228762e+07,-4.6016e+07,1.265326e+08,-1.028261e+08,-1.387747e+08,1.427505e+08,-5.231436e+07
1.030268e+08,-1.550645e+08,-1.124792e+07,3.484532e+07,1.049355e+08,-1.335371e+08,-3.037634e+08,-1.254012e+08,-5.834241e+07,-1.927046e+08,4.468751e+08,-2.077569e+08,2.708579e+08,-3.5537e+07,3.692163e+08,-2.435871e+08,8621658,1.933801e+07,2.393379e+07
5490969,-2.042498e+08,2.261313e+08,1.593453e+08,2.604153e+08,-8023656,-4.440097e+07,1.500704e+07,7.462733e+07,1.719704e+08,1.398013e+08,-1.398419e+08,9.038094e+07,-9.746562e+07,1.861569e+07,-2.047059e+07,-3.756508e+08,-1.803577e+08,8975771
-2.398615e+08,-2.727428e+08,635098.1,8840335,2.371941e+07,-1.644126e+08,-1.011001e+08,-2.088694e+08,-3.4756e+07,-2.13081e+08,3.7811e+08,-5.69579e+07,2.582458e+08,-3.412094e+07,2.889006e+08,-2.38892e+08,1.494884e+08,1.24095e+08,4.440508e+07
1.406138e+08,-8.420471e+07,1.804948e+08,9.692534e+07,2.177738e+08,-1.492329e+08,1.051674e+08,-2.701578e+08,9.051364e+07,-1.050162e+08,3.389888e+08,-1.417919e+08,1.807464e+08,-1.446978e+08,2.425307e+08,-2.795989e+08,-2.091515e+08,-1.909341e+08,-4.47142e+07
-2.548428e+08,-1.872302e+08,1.016967e+08,1.38129e+08,8.166707e+07,-4.685259e+07,-6.975244e+07,-1.329232e+08,1.226287e+08,-1.007128e+07,1.671045e+08,2212622,8.295065e+07,-1.682155e+07,1.431077e+08,-1.615361e+08,-1.637446e+08,1.002553e+08,-4.266557e+07
-1.052128e+08,-9.683513e+07,-7.435676e+07,1.922194e+07,-8.375972e+07,-1.477287e+08,-2.033103e+08,-3.575574e+08,3.900251e+07,-3.223466e+08,4.449505e+08,-6.381604e+07,2.668767e+08,6093194,4.47117e+08,-4.349512e+08,1.393444e+08,2.511868e+08,-4.767753e+07
3.381188e+07,-1.580436e+08,2.24104e+08,1.18765e+08,2.040435e+08,-1.524204e+07,-3.861481e+08,-1.472962e+08,1.028183e+08,8.215231e+07,1.794852e+08,-4.401257e+07,9.167095e+07,-4.029715e+07,5.3429e+07,-2.234635e+08,-1.462085e+08,2.173935e+08,712627
-1.387063e+08,-1.695534e+08,6.195889e+07,6.990709e+07,2.741408e+07,2916682,-9.906598e+08,-2.17038e+08,-1.599542e+08,-2.124945e+08,2.964906e+08,7.315182e+07,2.191323e+08,1.274429e+08,2.457542e+08,-3.188265e+08,4.022823e+08,4.275836e+08,1.361663e+08
3.201374e+08,-6.452998e+07,2.307851e+08,2.18797e+07,1.388685e+08,-4.931234e+07,-1.885225e+08,-2.875611e+08,-3.277718e+07,-2.087452e+08,2.862593e+08,-7.143857e+07,1.610419e+08,7989592,2.313702e+08,-2.969074e+08,3.025752e+07,-2.122474e+08,9.421838e+07
-1.21338e+08,-2.296956e+08,1.685471e+08,7.484204e+07,2.705376e+07,7122560,2.825143e+08,-4.173915e+07,2.179927e+08,1.670845e+08,-5.673509e+07,-2.952517e+07,-6.867747e+07,-5.525286e+07,-5.187972e+07,-7.177877e+07,-1.51156e+08,-1.261424e+08,1.062628e+08
5236463,2.356706e+07,-1.472042e+08,2.513528e+08,-8.082207e+07,-6.576108e+07,-2.448533e+08,-1.607415e+08,-1.398367e+08,-3.126539e+08,1.587782e+08,-4.344831e+07,1.725383e+08,-8889648,2.067414e+08,-2.322474e+08,3.381692e+08,2.426685e+08,-8721542
1.857739e+08,1.790464e+07,1.744921e+08,3.451444e+08,1.985338e+08,1.125579e+07,2.206312e+07,-5.620865e+07,2.037336e+07,-5.10536e+07,-6.531229e+07,-6.140645e+07,1.83249e+07,-8.947714e+07,-8.7718e+07,-6.336702e+07,-5.915057e+07,-6.025224e+07,-1.93425e+07
