FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,A1,A2,FZ,CZ,PZ
739.80000,-0.32311,-0.39300,0.46239,-0.08816,0.62676,0.00218,0.31661,0.29658,0.23851,0.11238,0.14089,-0.25132,0.54724,0.12188,0.45339,0.05863,0.19529,-0.01628,0.01479,0.29484,0.24667
739.80400,-0.27073,-0.25761,0.68455,-0.02923,0.62676,0.16533,0.42840,0.39023,0.34802,0.16741,0.22917,0.02775,0.62562,0.26327,0.51883,0.15005,0.19529,0.06621,0.11749,0.46827,0.27870
739.80800,-0.37550,-0.30274,0.31428,-0.55960,0.38129,0.11094,0.39114,0.39023,0.45753,0.24996,0.27331,-0.09185,0.58643,0.26327,0.55155,0.11958,0.16643,-0.01628,-0.19061,0.20812,0.34277
739.81200,-0.37550,-0.34787,0.01807,-0.67746,0.46311,0.05656,0.42840,0.39023,0.53967,0.30500,0.27331,-0.29119,0.62562,0.26327,0.64971,0.18052,0.16643,-0.04377,-0.39601,0.12140,0.37480
739.81600,-0.21834,-0.25761,0.24023,0.32435,0.70858,0.16533,0.61473,0.48389,0.56704,0.36003,0.40573,-0.05199,0.66480,0.36931,0.74788,0.27194,0.22414,0.09371,-0.08791,0.38155,0.34277
739.82000,-0.16596,-0.12221,0.68455,0.38328,0.79040,0.38287,0.72652,0.63998,0.67655,0.47010,0.62643,0.22708,0.78237,0.51070,0.84604,0.42430,0.31070,0.23119,0.11749,0.55498,0.34277
739.82400,-0.32311,-0.21247,0.38834,0.02970,0.70858,0.32848,0.72652,0.63998,0.78606,0.58016,0.49401,0.26695,0.74318,0.54605,0.91148,0.48525,0.31070,0.23119,-0.19061,0.29484,0.40684
739.82800,-0.42788,-0.34787,0.01807,-0.08816,0.54494,0.11094,0.65199,0.54633,0.78606,0.60768,0.09675,0.02775,0.66480,0.47535,0.87876,0.39383,0.22414,0.17619,-0.49871,0.03469,0.40684
739.83200,-0.27073,-0.21247,0.31428,-0.02923,0.70858,0.27410,0.72652,0.60877,0.78606,0.58016,0.22917,-0.01212,0.66480,0.44000,0.91148,0.45478,0.31070,0.25868,-0.19061,0.29484,0.37480
739.83600,-0.21834,-0.21247,0.53644,0.26542,0.79040,0.43725,0.83832,0.67120,0.75869,0.60768,0.44987,0.18722,0.66480,0.51070,0.94420,0.51572,0.31070,0.31367,0.01479,0.55498,0.34277
739.84000,-0.42788,-0.39300,0.24023,-0.02923,0.70858,0.32848,0.76379,0.60877,0.75869,0.58016,0.22917,0.14735,0.58643,0.44000,0.87876,0.45478,0.19529,0.23119,-0.29331,0.29484,0.40684
739.84400,-0.63742,-0.52839,-0.05598,-0.14709,0.46311,0.21971,0.61473,0.51511,0.70393,0.49761,-0.03567,-0.25132,0.42967,0.29861,0.74788,0.30241,0.13758,0.06621,-0.60141,0.12140,0.43887
739.84800,-0.58504,-0.48326,0.16618,-0.02923,0.46311,0.27410,0.57746,0.48389,0.59442,0.38755,-0.21222,-0.33106,0.35129,0.22792,0.64971,0.24147,0.02216,0.03871,-0.39601,0.38155,0.37480
739.85200,-0.53265,-0.39300,0.38834,0.08863,0.62676,0.38287,0.65199,0.48389,0.51229,0.33251,-0.21222,-0.17159,0.31210,0.22792,0.61699,0.24147,0.05101,0.09371,-0.08791,0.64170,0.31073
739.85600,-0.53265,-0.43813,0.01807,-0.02923,0.54494,0.27410,0.61473,0.39023,0.45753,0.27748,-0.30050,-0.25132,0.27291,0.15723,0.55155,0.15005,-0.00669,0.01122,-0.19061,0.55498,0.31073
739.86000,-0.74219,-0.57352,-0.35220,-0.55960,0.29947,0.05656,0.50293,0.20292,0.45753,0.22245,-0.25636,-0.41079,0.23372,-0.01951,0.48611,-0.00232,-0.06440,-0.12626,-0.60141,0.29484,0.34277
739.86400,-0.74219,-0.61865,-0.27814,-0.73639,0.46311,0.00218,0.50293,0.14048,0.40278,0.16741,-0.16808,-0.37093,0.23372,-0.05486,0.48611,-0.00232,-0.03555,-0.09877,-0.49871,0.29484,0.27870
739.86800,-0.58504,-0.48326,0.01807,0.08863,0.54494,0.00218,0.57746,0.14048,0.34802,0.13990,-0.12394,-0.25132,0.27291,0.05118,0.51883,0.05863,-0.00669,0.03871,-0.29331,0.38155,0.15056
739.87200,-0.63742,-0.43813,0.24023,0.14756,0.54494,0.00218,0.61473,0.04683,0.40278,0.16741,0.00847,-0.13172,0.31210,0.08653,0.55155,0.08910,0.02216,0.09371,-0.29331,0.29484,0.15056
739.87600,-0.74219,-0.52839,-0.20409,-0.32388,0.38129,-0.21536,0.50293,-0.07805,0.43016,0.19493,-0.03567,-0.17159,0.31210,0.08653,0.51883,0.05863,0.10872,0.01122,-0.70411,0.03469,0.15056
739.88000,-0.63742,-0.39300,-0.13004,-0.14709,0.38129,-0.21536,0.50293,-0.07805,0.45753,0.22245,-0.03567,-0.25132,0.35129,0.08653,0.48611,0.08910,0.13758,0.12120,-0.60141,0.03469,0.11853
739.88400,-0.48027,-0.30274,0.16618,0.08863,0.54494,0.00218,0.61473,0.04683,0.45753,0.24996,0.05261,-0.17159,0.42967,0.15723,0.58427,0.21099,0.19529,0.25868,-0.19061,0.46827,0.11853
739.88800,-0.42788,-0.30274,0.16618,0.20649,0.62676,0.16533,0.72652,0.17170,0.48491,0.33251,-0.03567,-0.01212,0.42967,0.26327,0.61699,0.30241,0.28185,0.28618,-0.19061,0.46827,0.18260
