FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,A1,A2,FZ,CZ,PZ
734.90000,1.36624,1.92752,1.02239,2.04683,0.22364,0.79945,0.09487,0.35403,0.14451,0.27293,-0.00668,0.98825,-0.22285,0.83001,-0.03521,0.41016,-0.07292,0.18241,0.90645,-0.25880,0.01536
734.90400,1.25400,1.82866,0.90417,1.54504,0.13030,0.79945,0.05984,0.35403,0.18304,0.31083,-0.18715,1.03673,-0.25839,0.79576,-0.06297,0.38778,-0.07292,0.22588,0.69456,-0.25880,0.04762
734.90800,1.08563,1.63095,0.78594,1.35686,-0.05638,0.53218,-0.04526,0.29574,0.22158,0.32978,-0.54810,0.98825,-0.32945,0.69298,-0.09074,0.34302,-0.11744,0.18241,0.37673,-0.60434,0.11214
734.91200,1.14175,1.58152,0.78594,1.16869,-0.14971,0.53218,-0.04526,0.29574,0.20231,0.29188,-0.54810,0.93977,-0.36498,0.62446,-0.11851,0.34302,-0.13970,0.18241,0.37673,-0.51795,0.07988
734.91600,1.31012,1.63095,1.25884,1.35686,0.13030,0.63909,0.05984,0.35403,0.20231,0.31083,-0.32251,0.79433,-0.32945,0.65872,-0.06297,0.38778,-0.11744,0.24762,0.69456,-0.25880,0.01536
734.92000,1.31012,1.58152,1.25884,1.35686,0.22364,0.63909,0.09487,0.38317,0.26011,0.36768,-0.36763,0.74584,-0.29392,0.62446,-0.03521,0.38778,-0.07292,0.24762,0.69456,-0.17242,0.11214
734.92400,1.14175,1.33438,0.54950,0.85506,-0.05638,0.31837,-0.04526,0.26660,0.26011,0.32978,-0.63834,0.55192,-0.40051,0.48743,-0.09074,0.29826,-0.11744,0.11720,0.16485,-0.60434,0.11214
734.92800,1.08563,1.23552,0.78594,0.79234,-0.14971,0.21146,-0.08030,0.20831,0.24084,0.27293,-0.50298,0.40647,-0.43604,0.35040,-0.09074,0.23113,-0.16196,0.05199,0.05890,-0.77710,0.07988
734.93200,1.19787,1.28495,1.37706,0.79234,0.03696,0.37182,0.05984,0.26660,0.24084,0.25399,-0.14203,0.45495,-0.32945,0.35040,-0.06297,0.25351,-0.05066,0.11720,0.37673,-0.43157,0.07988
734.93600,1.25400,1.23552,1.49528,0.22782,0.13030,0.31837,0.09487,0.29574,0.22158,0.25399,-0.14203,0.35799,-0.36498,0.28188,-0.06297,0.23113,-0.05066,0.18241,0.37673,-0.34519,0.07988
734.94000,1.02951,0.93895,0.78594,0.16509,-0.05638,0.05110,0.05984,0.23746,0.26011,0.27293,-0.41275,0.01862,-0.40051,0.11059,-0.06297,0.16399,-0.09518,0.07373,-0.04704,-0.69072,0.17667
734.94400,0.86114,0.79066,0.54950,0.60416,-0.14971,-0.10926,0.05984,0.20831,0.24084,0.25399,-0.54810,-0.02986,-0.43604,0.04207,-0.09074,0.11923,-0.07292,0.03026,-0.25893,-0.77710,0.20893
734.94800,1.08563,0.79066,0.78594,0.41599,0.13030,0.05110,0.12990,0.29574,0.24084,0.25399,-0.32251,0.16406,-0.40051,0.04207,-0.03521,0.16399,-0.07292,0.07373,0.05890,-0.43157,0.17667
734.95200,1.02951,0.79066,1.14061,0.47872,0.31698,0.10455,0.27004,0.38317,0.26011,0.29188,-0.32251,0.26103,-0.32945,0.11059,0.02032,0.18637,-0.00614,0.09546,0.16485,-0.25880,0.24120
734.95600,0.80502,0.64238,1.02239,0.16509,0.13030,-0.05581,0.23500,0.32488,0.29865,0.29188,-0.41275,-0.22379,-0.36498,-0.02645,0.02032,0.14161,-0.05066,0.03026,-0.36487,-0.60434,0.33798
