# F3,F4,T3,T4,C1,C2
-105.833,-175.755,-233.707,-83.792,-73.532,-116.663
-105.643,-173.285,-232.757,-85.692,-77.712,-121.223
-106.403,-169.675,-232.757,-88.542,-73.152,-116.283
-110.963,-178.035,-235.037,-89.493,-72.772,-112.863
-114.003,-183.735,-238.267,-90.063,-74.102,-112.673
-112.673,-181.835,-235.037,-91.583,-78.282,-118.373
-106.213,-181.265,-236.177,-89.683,-76.952,-115.713
-105.073,-177.275,-242.067,-89.303,-77.522,-113.243
-108.303,-178.415,-244.157,-92.153,-80.182,-118.183
-111.723,-177.465,-240.167,-99.563,-80.752,-122.933
-114.573,-181.835,-246.057,-100.703,-82.652,-124.263
-118.753,-182.405,-247.957,-99.373,-82.272,-122.173
-116.853,-181.455,-247.007,-104.693,-81.322,-121.413
-117.803,-181.835,-243.017,-103.173,-79.802,-122.173
-120.083,-183.545,-236.747,-101.083,-78.852,-121.793
-121.793,-184.495,-240.167,-98.423,-76.952,-115.333
-125.024,-185.445,-243.397,-98.423,-74.292,-110.773
-121.223,-182.215,-244.347,-95.573,-73.912,-114.953
-117.993,-182.595,-242.257,-88.732,-78.662,-116.853
-120.273,-180.505,-243.017,-84.932,-79.232,-115.143
-122.933,-180.695,-242.257,-82.272,-77.332,-110.583
-120.273,-181.455,-242.447,-81.132,-76.762,-117.803
-115.333,-179.175,-236.937,-79.992,-78.852,-123.123
-109.823,-175.565,-232.567,-79.612,-79.992,-122.553
-112.103,-174.615,-235.987,-78.472,-81.512,-119.893
-110.583,-174.235,-236.367,-78.282,-77.522,-116.473
-110.203,-173.285,-240.737,-77.142,-76.952,-117.043
-112.483,-171.195,-242.447,-77.522,-79.612,-112.483
-114.763,-176.895,-240.737,-77.142,-79.042,-105.453
-115.713,-179.175,-237.507,-79.992,-77.902,-108.493
-114.193,-179.935,-235.797,-86.642,-78.282,-114.003
-110.203,-183.925,-240.167,-87.212,-76.002,-114.003
-110.013,-182.595,-244.347,-87.782,-77.902,-113.623
-107.923,-182.975,-242.637,-89.683,-78.662,-111.723
-106.023,-177.085,-236.367,-88.732,-74.102,-119.133
-104.693,-171.385,-235.987,-83.222,-75.432,-119.893
-104.123,-170.625,-237.697,-78.472,-73.152,-115.903
-103.173,-170.245,-232.757,-78.472,-73.342,-115.713
-99.753,-169.675,-228.006,-79.802,-71.062,-115.713
-97.473,-173.285,-228.006,-80.942,-73.912,-116.663
-100.513,-173.475,-233.327,-79.612,-74.482,-111.533
-104.503,-177.845,-237.127,-81.512,-73.532,-115.713
-109.823,-182.215,-238.647,-86.072,-75.432,-123.313
-107.733,-181.835,-234.657,-90.443,-78.092,-125.404
-104.313,-180.125,-236.747,-88.542,-78.472,-120.083
-101.653,-176.705,-235.417,-83.602,-76.002,-119.133
-101.463,-169.485,-238.077,-81.322,-77.902,-117.423
-96.143,-167.585,-238.647,-80.752,-76.192,-120.463
-94.813,-170.435,-234.657,-76.572,-72.772,-117.993
-96.523,-173.095,-231.997,-74.482,-73.912,-111.913
-104.503,-174.995,-235.037,-74.862,-79.232,-114.383
-106.973,-171.195,-235.227,-75.812,-78.662,-118.943
-111.913,-170.625,-242.637,-77.902,-78.472,-119.323
-113.433,-172.145,-247.197,-79.232,-79.992,-118.753
-111.913,-176.515,-247.197,-80.942,-81.132,-117.993
-111.913,-177.275,-248.527,-80.752,-83.792,-120.273
-110.393,-174.615,-251.567,-81.322,-81.512,-119.513
-113.053,-174.045,-252.897,-79.042,-77.142,-112.103
-117.613,-173.665,-251.377,-80.562,-74.672,-111.153
-113.623,-175.565,-244.537,-75.242,-71.252,-113.623
-109.633,-174.995,-244.917,-71.632,-69.352,-106.023
-107.353,-171.005,-244.537,-69.352,-69.162,-105.073
-100.323,-173.285,-240.927,-72.582,-72.962,-108.493
-96.903,-172.525,-234.657,-80.182,-71.442,-114.763
-101.273,-175.185,-237.887,-83.602,-69.162,-116.663
-101.843,-178.035,-241.877,-80.752,-70.682,-116.283
-105.453,-173.665,-240.927,-80.372,-72.962,-118.183
-104.313,-173.665,-238.647,-79.992,-74.482,-117.043
-101.273,-171.575,-234.467,-77.522,-72.582,-115.523
-102.413,-172.525,-231.236,-73.152,-66.882,-111.533
-101.463,-170.625,-228.006,-73.532,-67.642,-111.723
-99.373,-166.255,-225.916,-72.962,-69.732,-114.383
-100.513,-169.295,-227.436,-75.812,-71.822,-121.413
-96.143,-166.065,-233.517,-76.192,-75.432,-121.793
-96.333,-161.695,-235.607,-72.582,-72.012,-117.993
