# F3,F4,T3,T4,C1,C2
-117.803,-188.105,-258.787,-93.483,-91.393,-124.073
-118.753,-189.815,-262.587,-97.853,-91.583,-129.774
-115.333,-190.575,-259.927,-95.003,-90.443,-130.914
-114.003,-189.055,-259.547,-95.193,-89.113,-128.254
-110.393,-188.485,-261.067,-97.663,-90.633,-129.204
-110.013,-189.245,-259.547,-102.033,-90.063,-130.534
-114.003,-189.625,-258.787,-99.563,-85.882,-134.524
-115.713,-189.245,-265.057,-99.373,-88.352,-130.154
-115.143,-181.835,-271.138,-97.283,-91.013,-125.024
-114.003,-184.495,-266.387,-98.043,-90.633,-126.164
-112.103,-188.105,-255.177,-98.043,-90.253,-128.064
-110.773,-186.965,-253.467,-99.943,-90.253,-125.024
-114.953,-191.145,-256.127,-98.613,-85.502,-120.843
-114.763,-192.475,-258.977,-99.183,-85.692,-120.843
-112.673,-190.765,-263.347,-99.373,-90.253,-122.553
-113.053,-189.625,-264.677,-100.513,-90.253,-122.553
-110.773,-183.925,-264.677,-98.043,-88.162,-121.603
-114.003,-186.015,-263.917,-100.513,-90.443,-123.883
-118.753,-188.485,-263.917,-99.753,-94.053,-127.304
-121.033,-189.245,-269.048,-104.123,-99.183,-127.114
-119.513,-191.715,-267.718,-106.213,-98.993,-124.453
-118.373,-192.855,-265.437,-106.973,-98.043,-125.024
-115.523,-189.245,-260.877,-104.503,-93.673,-128.824
-109.633,-186.965,-256.507,-104.883,-93.103,-127.874
-107.353,-187.535,-260.117,-95.953,-95.763,-124.263
-105.263,-186.395,-262.397,-93.293,-98.423,-123.883
-105.453,-187.535,-255.747,-90.443,-95.193,-128.634
-107.733,-187.345,-255.367,-87.972,-90.443,-128.254
-109.633,-189.435,-255.557,-92.343,-88.162,-123.123
-110.583,-187.915,-252.137,-95.953,-88.162,-125.214
-109.823,-186.205,-249.667,-95.763,-88.352,-127.874
-106.593,-185.825,-245.677,-97.853,-90.633,-130.914
-106.403,-187.155,-248.337,-96.333,-91.203,-128.254
-105.073,-187.155,-247.197,-91.203,-87.022,-121.983
-102.413,-187.155,-246.817,-94.243,-86.452,-119.703
-101.653,-186.585,-246.057,-92.723,-84.932,-123.503
-103.743,-182.215,-252.707,-88.162,-83.982,-123.313
-108.873,-182.785,-254.417,-86.452,-86.262,-120.273
-110.013,-182.025,-252.707,-91.393,-86.642,-122.173
-103.553,-182.785,-253.657,-91.583,-88.732,-123.123
-103.933,-183.355,-256.317,-91.393,-86.262,-124.453
-107.923,-182.405,-254.227,-94.433,-88.162,-122.553
-106.213,-185.255,-254.227,-96.333,-91.773,-121.413
-104.123,-186.775,-252.897,-96.523,-94.623,-124.834
-107.353,-186.015,-252.897,-99.183,-91.583,-127.874
-109.823,-185.255,-253.657,-97.093,-90.063,-123.883
-112.483,-188.675,-254.037,-94.243,-92.153,-122.173
-110.013,-186.965,-255.747,-97.663,-91.963,-124.073
-106.973,-184.305,-256.127,-99.943,-91.583,-129.014
