F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
-0.0220268,0.7204901,0.2494254,0.4672145,0.1159002,0.6767935,0.1823698,-0.9390532,0.1450315,0.1919136,0.3594964,0.1560962,0.4213808,0.2560709,-0.3271779,0.0768805,0.1127594,0.3911335,0.1406603,-0.0504032,-0.0426070
-0.0164012,0.9835726,0.5473967,0.5329903,0.3542301,0.5430967,0.2179078,-1.1016926,0.3913276,-0.0744284,0.1397046,-0.0555536,0.1419990,0.1609012,-0.3472922,0.0166679,-0.0338009,0.1778588,0.0438944,-0.3339990,-0.1777481
-0.0723484,0.7401592,0.4190181,0.2834456,0.1649925,0.4744526,0.1410698,-1.0429863,0.2276637,0.4413415,0.2503881,0.3845431,0.1208718,0.0270984,-0.5114388,0.1288732,0.0552691,0.1666210,0.0674796,-0.0889546,0.0303361
-0.1973945,0.7877792,-0.1415817,0.2103245,-0.0985778,0.2768520,-0.0833703,-1.2224467,-0.3449238,0.2710781,0.6141899,0.4706210,0.0492117,-0.0004529,-0.8066054,0.0214888,0.2187518,0.2213127,0.0351187,0.0958247,0.0611835
-0.1619108,0.9579142,-0.1286107,0.1539252,0.2612047,0.0328313,-0.0798712,-1.1124911,-0.2500292,-0.2370302,0.6820996,0.1366442,-0.0424204,-0.0646073,-0.8028049,0.2815948,0.4776643,0.1913657,0.0726091,0.3664330,0.1660687
-0.0106098,0.7634036,0.0430277,0.2388524,0.2671553,0.7067924,-0.1995181,-1.1992178,-0.2072239,-0.1308709,0.4060120,0.3061150,0.0908114,0.0132743,-0.6669913,0.2393719,0.4616518,0.3093226,0.1461358,0.4630378,0.0338205
-0.0322652,0.7448159,0.1543749,0.2744862,-0.2478069,0.2936577,-0.0740747,-1.3809115,-0.2429170,-0.3599841,0.0155369,0.3377297,-0.1612495,-0.0010742,-0.8316947,0.3259632,0.3056431,0.0630305,-0.1404893,0.4541469,-0.0809383
-0.1314131,0.9580357,0.1594592,0.1062062,-0.2909629,0.0660208,-0.2291886,-1.3056953,-0.3365824,-0.6285859,-0.0755808,-0.2025909,-0.2923544,-0.3683887,-1.1373547,0.2560478,0.1927120,-0.3656938,-0.2000801,0.2519506,-0.3947692
-0.2197801,0.6776504,-0.0611318,-0.0300147,-0.5320944,-0.0026084,-0.3518512,-1.4156164,-0.4626395,-0.7996587,-0.0841357,-0.2667876,-0.5360145,-0.4853386,-1.1261028,-0.1158185,-0.0303363,-0.6006304,-0.4358836,0.0054090,-0.5402547
-0.2988229,0.4056922,-0.1113958,-0.1152714,-0.9175382,-0.5130628,-0.4477373,-1.5191181,-0.6023076,-0.8060049,0.0110503,-0.1795442,-0.5561022,-0.4899555,-1.0666059,-0.0049034,-0.0065706,-0.3796180,-0.4050784,-0.2827253,-0.4505517
-0.2606769,0.6282988,-0.0609787,-0.2223338,-0.3438392,-0.0362129,-0.3081822,-1.4126292,-0.4442022,-0.5636605,0.2763017,-0.1024646,-0.5633780,-0.6858416,-0.9049382,0.3164021,0.1652874,-0.1120198,-0.1200276,0.1832159,-0.2398684
-0.3256536,0.7298081,-0.1499900,0.0003676,-0.2025107,0.4938527,-0.3681280,-1.2224759,-0.1984250,-0.4061148,0.4265887,-0.2119288,-0.4840744,-0.5089175,-0.8063685,0.6014127,0.3328235,-0.1350326,-0.0616781,0.4589832,-0.0781178
-0.3748656,0.6423619,-0.2694794,0.0131763,-0.5264955,0.4594502,-0.5786909,-1.2414432,-0.4195251,-0.1275749,0.6046128,0.3226581,-0.2935961,-0.4147171,-0.8222583,0.4281043,0.6265567,-0.1332239,-0.0210095,0.4933696,-0.1589686
-0.4372798,0.5267902,-0.2341608,-0.0766927,-0.5781391,0.3951414,-0.2683170,-1.4066265,-0.4660405,0.2773637,0.7043054,0.5302792,0.0053509,-0.3599657,-0.9419285,0.5893515,0.7013324,0.0339286,0.1194458,0.5570658,0.0743715
-0.3034919,0.6578894,-0.1132021,-0.1204625,-0.7422863,0.6996775,-0.1727948,-1.3453771,0.1060664,-0.0157439,0.8325689,0.2228739,0.1210246,-0.1207763,-0.6881126,0.9302729,0.8502087,0.1885585,0.1428800,0.7137765,0.1930872
-0.3259063,0.5987864,-0.0484554,-0.1942574,-1.0268458,0.8471619,0.0918774,-1.3551689,-0.1016377,-0.5037601,0.6980656,0.2498745,0.1828137,0.2183080,-0.6880890,1.0765527,0.8900968,0.2498107,0.0930889,0.6662870,0.1628697
-0.3881608,0.6486927,-0.0083042,-0.3359734,-0.9547176,0.2133462,0.1874577,-1.3318704,-0.1035193,-0.1217007,0.3314034,0.5792385,0.3386593,0.3218639,-0.6497678,0.5290782,0.5231246,0.4309232,0.3095817,0.5891660,0.2254092
-0.3233065,0.8520982,-0.0504832,-0.0190828,-0.8857318,0.2937784,0.3093554,-1.3176904,-0.1059858,-0.2093810,-0.1057175,-0.0079598,0.2167419,0.4325402,-0.3524711,0.1283478,0.3224615,0.5798808,0.5944328,0.5580540,0.3186721
