F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
0.1117548,-0.4015906,0.1029759,0.7975813,1.1419994,1.5209988,0.8015954,1.3121570,2.1196568,0.0937094,0.9126602,1.4374400,2.1612988,1.8922585,0.4287664,2.0146391,1.4085958,1.2326815,0.9433944,1.5028418,1.1414847
-0.1295298,-0.6347994,-0.2154603,0.1436395,1.2464063,1.2155529,0.7344334,1.5165656,1.7754182,-0.3165011,0.8152298,0.3369803,1.7912978,2.0756450,0.9062704,1.5263942,1.4668700,1.7660753,0.6770582,1.7715313,0.9432167
0.0388255,-0.5596063,0.4878769,0.7073720,0.5901012,1.6965595,0.5939944,1.7334533,1.8862978,-0.4832409,0.7080971,-0.3792012,1.5741689,1.4475594,0.7674573,1.6153833,1.5341662,1.2690872,0.9013124,1.6607929,0.6590714
0.6067570,-0.3811940,1.5723881,0.7984070,0.5467496,1.8160611,1.0488298,1.7156173,2.3086188,-0.2848916,0.6325335,0.3105068,1.7392439,1.7124462,-0.0019295,1.4381921,0.9083617,1.0546799,0.6269596,0.9827386,0.5600385
0.5835307,-0.7501024,1.3739158,0.6560768,0.3166937,2.1342819,1.3275727,1.5942791,1.4670514,-0.3570439,0.7150062,1.0644188,1.6437291,1.7562519,-0.0808202,1.1954525,0.7455075,1.0753356,0.2995502,0.5164623,0.8723934
0.2615744,-0.4799221,0.9814940,0.6050777,-0.5038480,2.1836984,1.2822725,1.5861143,1.0174348,-0.5349507,0.7536460,0.4321338,1.8219104,1.5576481,0.3509190,1.5915183,0.9934855,1.1594315,0.1863440,0.8076985,0.6645572
-0.1471349,-0.3050469,1.0039977,0.6505477,0.2564337,2.1074493,0.9428237,1.5724901,1.1730789,0.2690471,0.9623261,0.4957341,1.9918083,1.6767405,0.3093632,1.9064870,1.3055753,0.8841829,0.0534681,1.0549394,0.7537527
0.1619216,-1.1803809,0.9462000,0.5166730,-0.1951494,1.7444637,0.6659855,1.4051839,1.5925566,-0.0720871,1.1246535,1.6028348,1.8639022,1.5659275,-0.6101622,1.7708284,1.5814731,0.8023086,0.1738673,0.9483480,0.6228346
0.1690595,-0.9784374,0.1679430,0.3223375,-0.0374534,1.3474817,0.2278348,1.7351031,1.6258708,-0.4075332,1.0090828,1.3372450,1.6460977,1.2179446,-0.2907107,1.4145207,1.0534184,0.6143631,0.3403554,0.9623435,-0.2970493
0.1566968,-0.5804744,0.0849930,0.5386046,0.4101817,1.6830864,-0.1946338,1.8825099,1.2732993,-0.3957039,0.8416232,0.0126921,1.1231310,0.6962714,-0.2075202,1.1370350,0.2736994,0.2479480,0.2610802,0.5566567,-0.5799369
