F3,F4,T3,T4,C1,C2
-0.0220268,0.2494254,-0.9390532,0.2560709,0.1919136,0.1560962
-0.0164012,0.5473967,-1.1016926,0.1609012,-0.0744284,-0.0555536
-0.0723484,0.4190181,-1.0429863,0.0270984,0.4413415,0.3845431
-0.1973945,-0.1415817,-1.2224467,-0.0004529,0.2710781,0.4706210
-0.1619108,-0.1286107,-1.1124911,-0.0646073,-0.2370302,0.1366442
-0.0106098,0.0430277,-1.1992178,0.0132743,-0.1308709,0.3061150
-0.0322652,0.1543749,-1.3809115,-0.0010742,-0.3599841,0.3377297
-0.1314131,0.1594592,-1.3056953,-0.3683887,-0.6285859,-0.2025909
-0.2197801,-0.0611318,-1.4156164,-0.4853386,-0.7996587,-0.2667876
-0.2988229,-0.1113958,-1.5191181,-0.4899555,-0.8060049,-0.1795442
-0.2606769,-0.0609787,-1.4126292,-0.6858416,-0.5636605,-0.1024646
-0.3256536,-0.1499900,-1.2224759,-0.5089175,-0.4061148,-0.2119288
-0.3748656,-0.2694794,-1.2414432,-0.4147171,-0.1275749,0.3226581
-0.4372798,-0.2341608,-1.4066265,-0.3599657,0.2773637,0.5302792
-0.3034919,-0.1132021,-1.3453771,-0.1207763,-0.0157439,0.2228739
-0.3259063,-0.0484554,-1.3551689,0.2183080,-0.5037601,0.2498745
-0.3881608,-0.0083042,-1.3318704,0.3218639,-0.1217007,0.5792385
-0.3233065,-0.0504832,-1.3176904,0.4325402,-0.2093810,-0.0079598
-0.1490976,0.1890836,-1.0754275,0.4442845,-0.4121227,-0.2410543
-0.1384944,0.3539023,-1.1193213,0.5149957,-0.7032816,-0.0726598
-0.1313996,0.3413252,-1.1696893,0.5272191,-0.2116551,0.2120348
-0.1216264,0.4968860,-1.3116125,0.5824627,-0.2164844,0.1914265
-0.1967234,0.3930492,-1.3200003,0.5646958,-0.4800694,0.7840278
-0.2368873,0.0768549,-1.2174805,0.5098072,-0.2692869,0.8315839
-0.1991518,0.0121066,-1.1426365,0.1468632,-0.2613462,0.4027035
-0.1114368,-0.2004619,-1.3158287,0.1289488,-0.0374346,0.3498370
-0.0955502,-0.1361340,-1.3912908,0.0410344,-0.3748324,0.5204471
-0.0277253,0.0600650,-1.2034612,0.0285906,0.0562884,0.1791814
0.0031224,0.5675229,-1.1409454,0.3001779,0.1794452,-0.0343866
0.0228965,0.5476407,-1.1856464,0.5450280,0.2782566,0.2915983
0.0720668,0.6664823,-0.9521205,0.4777067,0.5154889,0.2462490
0.1632196,0.4617637,-0.9142305,0.4262305,0.3790932,0.2310068
0.1009422,0.4034671,-1.0488678,0.4458731,0.1580379,0.4827824
-0.0277214,0.0568483,-1.2282461,0.3508407,0.2969325,0.1612760
-0.1061354,-0.1145062,-1.1509401,0.0358358,-0.1537530,-0.4226413
0.0100030,-0.0186174,-1.1488475,0.0238356,-0.3172917,-0.1058875
0.0576796,0.2458329,-1.1421187,0.2846431,-0.0677456,0.0566183
0.1141291,0.7072070,-1.2261184,0.3957332,-0.2234020,0.1072934
0.2206778,0.6989439,-1.1713669,0.4937392,0.2048495,-0.0540509
0.2005694,0.4425752,-1.0412179,0.7094244,0.3615147,0.4695944
0.0208065,0.3612044,-1.1007444,0.6678835,-0.4065470,0.3334917
-0.0759853,0.5516100,-1.1794056,0.6321817,-0.3030504,0.0307944
-0.1857984,0.5704368,-1.4361345,0.4900634,-0.4275558,0.0258997
-0.1601338,0.2730310,-1.4819238,0.4499716,-0.6144965,0.1217360
-0.1513826,0.2046553,-1.5186236,0.3743901,-0.9777792,-0.0587801
-0.1217241,0.3462499,-1.6260452,0.4527548,-0.5472148,0.1446396
-0.2465008,0.4127038,-1.6372722,0.4349767,0.0318303,0.6110017
-0.2242179,0.2971331,-1.4554379,0.5943468,0.4666595,0.4214946
-0.0994626,0.3569610,-1.3867247,0.8449833,0.8761792,0.8720226
-0.0206305,0.5169746,-1.4042534,0.9224575,0.7023283,0.9702649
0.1713060,0.4418432,-1.1665311,0.6036518,0.3804981,0.4974723
0.1053226,0.3591263,-1.1701915,0.2942858,0.8486992,0.2139809
0.0592690,0.1678289,-1.3175192,0.4066355,0.6310579,0.2012692
-0.0165733,0.4060346,-1.2827051,0.4385500,0.3286014,0.1158320
0.0600543,0.4582590,-1.1600710,0.4891032,0.1954689,0.2151322
0.0620708,0.4961720,-1.0269214,0.7230392,1.0269337,0.4769167
0.0839840,0.5881622,-0.9086764,0.7594051,1.0278553,0.5548121
0.1106655,0.8175275,-0.8501174,0.7399402,0.7536222,0.2109937
0.1430510,0.6783671,-0.9814458,0.5979282,0.2046478,-0.2107687
0.2069386,1.1098987,-1.1527067,0.7546532,0.3610075,0.0809192
0.1374722,0.9991906,-1.0175601,0.6660488,0.3930770,0.0473671
0.2072286,0.9782583,-1.0226002,0.6462085,0.3404711,-0.0423923
0.1422590,0.8423889,-1.3374150,0.6110020,0.1828605,0.0983596
-0.0282538,0.5872665,-1.5672272,0.3866291,-0.4944466,0.2442944
-0.1418055,0.3416754,-1.6031003,0.2250879,-0.4904737,-0.0099882
-0.2024741,0.3165627,-1.6729147,0.2920679,-0.7809781,0.0880995
-0.1618756,-0.0323489,-1.6830274,0.0589638,-0.6070690,0.0934078
-0.2604718,0.1471084,-1.6840518,0.0560424,-1.2671072,-0.0830454
-0.4298593,-0.1820112,-1.8456641,-0.0410949,-1.1709946,0.0995871
-0.4492488,-0.4517933,-1.9402089,-0.0551221,-0.9235797,0.3964397
-0.3360894,-0.2931242,-1.6841222,-0.0002167,-0.3308083,0.2118570
-0.1819724,-0.1537596,-1.4658718,0.1407825,-0.1977146,-0.0775399
-0.1441932,0.0230883,-1.3065133,0.2828659,0.2361193,0.3154680
-0.0977623,0.4179627,-1.3345838,0.3182101,0.3971060,0.3761035
-0.0037647,0.2685054,-1.3203343,0.3788959,-0.0394496,0.1151719
-0.0626827,0.1655934,-1.3117776,0.3966199,0.1591313,0.4642508
-0.1751935,0.0830347,-1.3796327,0.2428149,0.2876883,0.8656061
-0.1705445,-0.1574119,-1.4421837,0.2416334,-0.7390258,0.3573984
-0.2049507,-0.1660049,-1.5986618,0.2332830,-0.3269229,0.0425318
-0.1286821,-0.2840934,-1.7208929,0.0931012,-0.5581386,0.3079767
-0.1069964,0.1187779,-1.6025975,0.1676740,-0.5915853,0.1952104
0.0083384,0.5877947,-1.4021000,0.5118730,-0.2881247,0.1637627
0.0097829,0.8324736,-1.3525536,0.5882877,0.1098957,0.5417264
-0.0003480,0.6959384,-1.3091569,0.6169165,0.2096329,0.4472112
-0.1120464,0.4257251,-1.1743932,0.4582398,0.1671664,0.2952619
-0.1924871,0.3825920,-1.4429330,0.4173431,0.3150840,0.5102334
-0.3483048,0.3531469,-1.4572159,0.4041930,0.1032303,0.4259242
-0.3822007,-0.0480698,-1.5817909,-0.0590839,0.4620145,-0.1439302
-0.2300037,-0.1697956,-1.5048125,-0.0487036,-0.3632442,0.0646320
-0.1965658,0.0134043,-1.3540059,0.0268699,0.0009028,0.5373418
-0.2825762,0.0606336,-1.5711133,-0.0348139,-0.1862693,0.0681252
-0.3392173,-0.0665876,-1.5810955,0.0914116,-0.2684410,-0.1986307
-0.2813664,-0.0640614,-1.5853548,0.2383762,-0.2031868,0.1507230
-0.2448164,0.2422098,-1.5582997,0.3495955,-0.5318924,0.3761798
-0.2352531,0.1536151,-1.4695805,0.3946251,-0.3602565,0.3188610
-0.2756167,0.1937339,-1.4610492,0.2938062,-0.1261634,0.2984241
-0.3267592,0.2043176,-1.3647220,0.2747498,0.0209545,0.4252919
-0.1615733,0.1541415,-1.2573172,0.3253731,-0.2568416,0.2715876
-0.2368177,-0.1337598,-1.4378849,0.4636108,-0.0711512,0.4472964
-0.3422124,-0.0299734,-1.4655637,0.2502824,0.0708501,0.4096766
-0.2521288,-0.1612203,-1.4294169,0.0160796,-0.2485191,0.2623360
-0.2730384,-0.1767590,-1.4971313,-0.0297896,-0.0957601,0.2694417
-0.3543303,-0.1117612,-1.5419097,-0.0246914,-0.1496177,0.5826584
-0.3562225,-0.0523883,-1.5762758,-0.0037819,-0.2659008,0.6943305
-0.2587170,-0.2933357,-1.4292912,-0.0528518,-0.4591660,0.2224610
-0.3333092,0.1205352,-1.5211631,0.1934417,0.2007305,0.4805528
-0.3109831,-0.0144482,-1.3785481,0.3077475,0.1593459,0.5594649
-0.2264615,0.1543783,-1.1101888,0.5051516,0.1280492,0.1770931
-0.2622369,0.0194500,-1.1355211,0.3903221,0.4675142,-0.0798933
-0.2545433,0.0905739,-1.3912796,0.4488353,0.5215108,0.7991622
-0.1401783,0.0467185,-1.3290586,0.4760601,0.3606849,0.3271492
-0.1357326,0.2540419,-1.3237334,0.5606747,0.1439255,-0.4569490
-0.1471414,0.1225854,-1.4878763,0.5719832,0.2929577,0.0791824
-0.0884133,0.0867341,-1.4196513,0.5952155,0.6637840,0.1100013
0.0184138,0.2924480,-1.1862757,0.6413608,1.0076013,0.0551622
0.0005474,0.8042179,-1.0648047,0.9413860,1.2150359,0.1509554
-0.0378647,0.9851092,-1.0083716,0.9141635,1.1506314,0.7573439
-0.0223551,0.8087375,-0.8981051,1.0269895,0.6134264,0.5727751
0.0310234,0.8433210,-1.0503043,1.0349139,0.5997075,0.4181309
-0.0382274,0.7869219,-1.1108482,1.1046796,0.8477516,0.4978479
0.0055193,0.6233218,-0.8855946,1.1726084,1.0981730,0.4985773
-0.0268189,0.5690238,-0.8890682,1.2464542,0.9433949,0.1626072
-0.0381258,0.6645820,-1.0464110,1.2245065,1.2297883,0.6465451
0.0068820,0.5529792,-0.9579710,1.0771506,1.0871626,0.5943550
-0.0629339,0.3592542,-0.9736183,1.1729620,0.5362628,0.3566445
-0.1756337,0.2707745,-1.0990839,0.8240808,-0.1350936,0.4779664
-0.1481494,0.3608091,-1.3697754,0.6012133,-0.4166475,0.3689341
-0.2008517,-0.0656582,-1.3464170,0.3090329,-0.2019328,-0.1563386
-0.1416406,-0.1686687,-1.4132675,0.0851727,-0.3858037,-0.3607340
-0.1273039,-0.1797461,-1.5711228,0.1830502,-0.1230752,-0.2448992
