F3,F4,T3,T4,C1,C2
-0.4475433,-0.2230711,-1.3978950,0.6552166,-0.6166533,0.5241128
-0.5128567,-0.8551621,-2.2592616,0.3906599,-1.0726293,-0.0973335
-0.2339809,-0.5841758,-1.7544225,0.6149206,-0.5180718,-0.0269250
-0.0167287,-0.6137816,-2.0588031,0.4042785,-0.7908485,0.1359507
0.1255268,-0.5006092,-1.8218843,0.1180435,-0.6218770,-0.1962311
-0.2806690,-0.8018337,-1.9332156,0.2195413,-0.0492264,-0.5135843
-0.2931091,-0.1020452,-2.7168620,0.3364315,-0.6924390,0.2835579
-0.2532738,0.0865897,-2.7485132,0.3850747,-0.8421651,0.4917106
-0.0152411,-0.4438482,-1.4509386,0.3177250,-0.7491699,0.1595091
-0.0472677,-0.4492483,-1.3890681,0.2397915,-0.5691432,0.6851207
-0.3022015,-0.9734335,-1.6470543,0.3052830,0.2475644,1.0797324
-0.1406847,-0.8539161,-2.1589024,0.2351550,-0.6057999,0.8560882
-0.0876915,-0.5867334,-2.3309729,0.2194407,-0.6972021,0.8275558
0.0025526,-0.0052007,-2.3696969,0.2906403,-0.4478078,0.8991841
-0.3813578,-0.4201911,-2.2033534,0.1916729,-1.0380119,0.4382743
-0.7324584,-0.5788724,-2.6538646,0.0451038,-2.0391929,0.2212251
-0.6135319,-0.9006058,-2.6492498,-0.3039484,-2.2823811,0.6094609
-0.5143561,-0.9528708,-2.3420532,-0.1918886,-1.8397417,0.4000757
-0.0745002,-0.4155503,-1.7156712,-0.1851753,-1.1531721,0.0526681
0.2902387,-0.3892471,-1.8162508,0.3133120,-1.5566065,0.5338631
0.4593602,-0.3148319,-2.0994413,0.7319706,-2.0664468,0.6457365
0.4195598,-0.3898776,-1.4640449,0.9454037,-1.3787372,0.0182594
0.1954148,-0.5015439,-1.5267022,0.9817056,-0.4680823,0.4846805
0.0670360,-0.5686218,-1.2932473,0.5016927,-0.4046732,0.6588104
0.1363052,-0.2029501,-0.8915739,0.5300705,-0.3867113,0.1246182
0.3827511,-0.2988505,-0.6530608,0.3210432,-0.9440248,-0.1186739
0.4082226,-0.3412348,-0.8160351,0.7103508,-0.5140638,0.4987653
0.6446043,-0.4131450,-0.6629539,0.7052703,-0.0798752,1.1979758
0.7454371,-0.2186673,-0.6835877,0.7058577,0.1694988,0.6843134
0.4914119,0.1702504,-1.3205810,1.1596215,0.2311967,0.8663296
0.0623998,0.1954702,-1.3168914,1.0061146,-0.1205435,1.0107074
0.4754422,0.1544927,-1.2809489,0.7699195,-0.3565608,0.7507169
0.5849187,0.1041035,-1.5447814,0.8456368,-0.1687059,0.6240214
0.2356331,0.1021058,-1.3786221,0.5275701,-0.4619144,0.8823804
0.5420582,-0.2727569,-1.3233106,0.4976149,-1.3674147,0.8035583
0.3712145,-0.2750716,-1.2376453,0.2910434,-1.1162465,0.2234137
0.1118168,-0.1595931,-1.3209853,0.4361002,-0.6968538,0.6302539
-0.0826389,-0.5882946,-1.4102122,0.5716826,-1.1222433,0.8917802
0.2853357,-0.0580162,-1.5299947,0.2847366,-0.8917691,0.2673420
0.1762608,-0.6761439,-1.8556070,-0.0712015,-1.4202193,0.4533464
0.0114992,-1.1779877,-2.0448117,-0.4094672,-1.3524150,0.5952397
0.1884905,-1.5067974,-1.3046108,-0.3659037,-1.4888014,-0.0432338
-0.2474255,-1.8925588,-1.1785458,-0.2203158,-1.2805355,0.2039872
-0.8201014,-1.8262756,-1.8213012,0.0128246,-0.6209075,0.5521725
0.3391452,-1.4923747,-0.7305337,-0.0960316,-0.4388127,0.3991166
0.8539236,-0.9246473,-0.7426922,0.0628744,-0.7977515,-0.2341022
0.2483372,-1.4272392,-1.4655153,0.0889204,-0.3548993,0.5503905
0.5271019,-1.0313413,-1.1727741,-0.2011617,-1.0958701,0.5596595
0.9115767,-0.7432557,-1.1816031,0.0976935,-1.4963329,-0.3147644
1.3381757,-1.1270117,-0.2300842,0.2580448,-0.2096002,0.4428922
1.1979311,-1.2411215,0.1957473,0.2724477,0.0711604,1.3714820
0.9506909,-1.0195234,-0.1235593,0.3360651,-0.4858557,0.9313704
0.7507794,-1.2812405,-0.4264370,0.2554643,-0.7000152,0.6711075
0.2011683,-2.0772581,-0.8160941,0.0860955,0.1030125,1.2126999
-0.0237020,-1.7245249,-1.2851679,-0.1783759,-0.7081678,1.1906383
0.2029029,-1.7157396,-1.2058241,-0.0136573,0.1632835,1.1153961
0.4315592,-1.4909209,-1.0832114,0.3342629,0.8155147,1.1591150
0.5627767,-1.3557535,-0.4795885,0.3154958,0.5997418,0.9177707
0.5756785,-1.2091560,-0.4442679,0.4254235,0.5455350,0.2498901
0.3450819,-1.3529956,-0.9135557,0.2998184,0.4109615,0.4939824
0.1326477,-1.5322862,-1.4568118,0.2457439,-0.3575547,1.2854630
0.0916910,-1.8987405,-1.5939612,-0.0027666,-0.1148481,1.0940489
-0.0974259,-2.2437267,-1.4981679,-0.2688070,-0.1183922,0.9579361
-0.3922905,-1.9836087,-1.7291524,-0.2524656,0.0068195,1.0176210
-0.2747219,-1.7401211,-1.8578449,0.2143344,0.1479416,0.7202280
0.2518045,-1.1255914,-1.6571078,0.3244237,-0.0217724,0.7474307
-0.1580602,-1.3779720,-1.8178408,0.4944307,0.1999830,1.8960758
-0.2153018,-1.6915007,-1.5645734,0.3285767,0.0960671,1.3880954
-0.5080169,-1.9056261,-1.9303460,0.4125327,0.0458699,0.7776102
-0.5647214,-1.8247383,-1.7179658,0.3187825,0.2734407,1.0458175
-0.6029627,-1.7950928,-1.8198934,0.3343014,-0.1343076,1.4239192
-0.7884473,-1.9082245,-1.8400863,0.1800283,-0.1714052,0.5416808
-0.5332325,-1.5043774,-1.6760851,0.0999899,-0.0537880,1.1296818
-0.4478004,-0.9586014,-1.3760902,0.4821232,-0.0347444,2.1654820
-0.0830564,-0.9091433,-0.7434938,0.8027906,0.7190577,1.2466041
0.0625156,-0.4817717,-0.5666452,0.7460797,0.6637099,1.2813519
-0.1631974,-0.1582239,-1.2857556,0.8198785,0.8498657,1.2224269
-0.2947797,-0.7779469,-1.2797489,1.0465928,-0.2161144,1.4790637
-0.4304811,-0.9767486,-1.1639539,1.3071263,-0.1528292,1.2788764
-0.3244382,-1.1019930,-1.6078957,1.2008072,0.3959551,1.4949560
-0.4239713,-1.0199280,-2.0155897,0.8812567,-0.2587183,1.7233238
-0.0177776,-0.7424573,-2.0208743,0.8535052,0.3404882,1.3564568
0.0002512,-0.8580927,-1.5921750,1.0271075,0.6970453,0.9517390
-0.5536979,-1.1608669,-1.2910452,0.9863704,0.7552274,1.3627316
-0.3200245,-1.3636383,-0.4470687,0.9767072,1.0976074,1.6212146
-0.0589579,-1.2627770,-0.3500524,1.1079727,1.3717227,1.4006323
0.0852528,-1.6313295,-1.0772200,1.1951702,1.6811662,2.1704364
0.4223151,-1.1741965,-0.8550701,1.4352815,2.3066432,2.6355865
0.3976846,-0.9706098,-0.3442217,1.7652926,2.0280797,2.1131017
0.3627585,-0.6748818,-0.2648217,1.5949204,1.9950002,1.9279234
0.2094363,-0.8711565,-0.2165900,1.5141407,1.6661422,2.0375178
0.0921278,-1.1715977,-0.0859496,1.6251309,0.6766336,1.5814593
-0.2053253,-1.7633359,-0.4534189,1.4231193,1.3078688,1.6377046
-0.5256285,-1.0819306,-0.5783223,1.1532613,0.7804657,1.6928563
-0.2535368,-0.9602016,-0.3948439,1.3865681,1.2787790,1.4455837
0.0404468,-1.1787105,0.0738112,1.4547684,1.3603252,1.7369508
-0.3622366,-1.3019948,-0.5635418,1.5507662,1.2914995,1.7162362
-0.3460613,-1.7144482,-0.5013996,1.2527907,0.9622319,1.6163342
-0.1262186,-1.1818109,-0.5687752,1.2316569,0.5777901,1.1112975
-0.2193932,-1.7049680,-1.1735084,1.3575048,0.3231255,1.0301785
-0.2014805,-1.4653548,-1.1031592,1.3723696,0.0384838,1.2415705
0.0188251,-1.3323725,-0.6887286,1.6864576,0.4982925,0.7083802
0.1975520,-1.2531250,-0.0760540,1.9221985,1.1813343,0.7161966
0.0951008,-1.0067275,-0.0347606,1.9265492,0.8752707,1.4091702
0.1309075,-0.3383317,0.1129670,2.0123391,0.3830642,1.2825496
0.2074877,-0.1442006,-0.3390610,2.0137584,0.6285307,1.2439904
